name,slug,symbol,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
NeuroChain,neurochain,NCC,2018-11-29,508,0.033703,0.041029,0.030707,0.033668,755714.0,5254287.0,1.0,0.01
Neurotoken,neurotoken,NTK,2018-11-29,649,0.683925,0.734176,0.643473,0.686481,1811720.0,39583426.0,1.0,0.23
Neutron,neutron,NTRN,2018-11-29,922,0.97412,1.2,0.867183,1.01,1582380.0,33710889.0,1.0,0.42
NevaCoin,nevacoin,NEVA,2018-11-29,1599,0.263917,0.545077,0.190436,0.263614,97481.0,666895.0,1.0,0.45
New Power Coin,new-power-coin,NPW,2018-11-29,550,1.96,2.9,1.77,1.96,112423.0,12220713.0,1.0,2.12
NewYorkCoin,newyorkcoin,NYC,2018-11-29,656,0.00086,0.001162,0.000498,0.000971,4300490.0,125243605.0,1.0,0.0
Nework,nework,NKC,2018-11-29,716,0.129043,0.135276,0.122523,0.128937,11404900.0,19029318.0,1.0,0.04
NewsToken,newstoken,NEWOS,2018-11-29,1870,0.013996,0.015128,0.013201,0.013959,504877.0,0.0,0.9988,0.01
Newton Coin Project,newton-coin-project,NCP,2018-11-29,1395,3.3e-05,4.3e-05,2.5e-05,3.2e-05,71853.0,762357.0,1.0,0.0
Nexium,nexium,NXC,2018-11-29,1286,0.763308,0.879979,0.689346,0.767656,12138900.0,51065695.0,1.0,0.29
Nexo,nexo,NEXO,2018-11-29,68,0.536074,0.539466,0.331492,0.409093,44604800.0,229092084.0,1.0,0.28
Nexty,nexty,NTY,2018-11-29,208,0.00074,0.001275,0.000645,0.000741,7403680.0,68945348.0,1.0,0.0
Nexus,nexus,NXS,2018-11-29,163,13.04,15.86,11.49,12.77,210752000.0,701140431.0,1.0,8.54
Nimiq,nimiq,NIM,2018-11-29,567,0.003412,0.034702,0.002945,0.003413,624917.0,5724130.0,1.0,0.03
Nimiq Exchange Token,nimiq-exchange-token,NET,2018-11-29,838,7.54,7.86,6.86,7.52,936658.0,78933120.0,1.0,3.53
Niobio Cash,niobio-cash,NBR,2018-11-29,846,0.017831,0.019925,0.012436,0.01822,62008.0,2041471.0,1.0,0.01
Niobium Coin,niobium-coin,NBC,2018-11-29,1199,0.559479,0.731145,0.263762,0.559486,52851.0,7514268.0,0.998,0.58
Nitro,nitro,NOX,2018-11-29,1165,1.54,1.56,0.954035,1.53,964964.0,1320780.0,1.0,0.84
No BS Crypto,no-bs-crypto,NOBS,2018-11-29,1047,0.001676,0.002756,0.001423,0.001676,1798270.0,907485.0,1.0,0.0
NoLimitCoin,nolimitcoin,NLC2,2018-11-29,714,0.508459,0.577043,0.474721,0.509139,1004190.0,103558703.0,1.0,0.17
Noah Coin,noah-coin,NOAH,2018-11-29,193,0.037531,0.037803,0.035154,0.035995,14000800.0,101836718.0,1.0,0.01
NobleCoin,noblecoin,NOBL,2018-11-29,1308,0.012048,0.022365,0.009772,0.011779,3031210.0,27323553.0,1.0,0.01
Noir,noir,NOR,2018-11-29,1942,0.029118,0.031195,0.026583,0.029224,2504.0,0.0,1.0,0.01
Noku,noku,NOKU,2018-11-29,1257,0.576846,0.58218,0.574222,0.574628,43671.0,5459077.0,1.0,0.27
Novacoin,novacoin,NVC,2018-11-29,700,28.05,31.23,24.83,27.98,27648400.0,20411961.0,1.0,18.2
